AD-ED,Reporting,MARCELA MITAYNES,KATHERINE P. WALSH,GENESIS E. AQUINO,WRITE-IN,FELIX W. ORTIZ
51-001,99.00%,54,19,6,0,41
51-002,99.00%,13,7,14,1,28
51-003,99.00%,44,20,10,1,35
51-004,99.00%,21,11,8,0,35
51-005,99.00%,20,6,1,0,26
51-006,99.00%,23,14,7,0,28
51-007,99.00%,40,38,6,1,37
51-008,99.00%,13,9,0,0,9
51-009,99.00%,5,0,7,0,14
51-010,99.00%,6,3,0,0,6
51-011,99.00%,59,39,4,0,28
51-012,99.00%,41,31,2,0,27
51-013,99.00%,46,23,3,0,25
51-014,99.00%,14,9,2,2,42
51-015,99.00%,8,10,3,3,30
51-016,99.00%,6,8,3,1,26
51-017,99.00%,32,10,1,0,14
51-018,99.00%,1,0,0,0,0
51-019,99.00%,6,0,2,0,5
51-020,99.00%,43,33,10,0,18
51-021,99.00%,5,7,0,0,7
51-022,99.00%,4,4,3,0,2
51-023,99.00%,37,21,9,2,28
51-024,99.00%,22,34,4,0,64
51-025,99.00%,0,0,0,0,0
51-026,99.00%,10,18,3,0,52
51-027,99.00%,8,4,0,1,8
51-028,99.00%,2,2,1,0,1
51-029,99.00%,33,13,8,1,51
51-030,99.00%,5,13,5,0,15
51-031,99.00%,27,31,8,0,30
51-032,99.00%,16,20,8,1,38
51-033,99.00%,23,23,20,0,36
51-034,99.00%,11,3,19,0,31
51-035,99.00%,23,13,11,0,70
51-036,99.00%,41,24,6,0,37
51-037,99.00%,59,8,13,1,46
51-038,99.00%,49,34,8,0,45
51-039,99.00%,49,28,15,0,38
51-040,99.00%,86,27,8,0,45
51-041,99.00%,50,39,16,0,24
51-042,99.00%,49,34,6,0,26
51-043,99.00%,14,17,5,0,16
51-044,99.00%,9,7,5,0,7
51-045,99.00%,3,0,1,0,1
51-046,99.00%,1,0,0,0,1
51-047,99.00%,2,11,13,0,13
51-048,99.00%,0,0,0,0,0
51-049,99.00%,48,63,14,1,31
51-050,99.00%,13,5,5,0,22
51-051,99.00%,27,14,9,0,77
51-052,99.00%,21,5,5,0,28
51-053,99.00%,14,11,2,0,18
51-054,99.00%,19,20,7,1,43
51-055,99.00%,60,23,11,0,22
51-056,99.00%,0,0,0,0,1
51-057,99.00%,0,1,0,0,0
51-058,99.00%,6,4,1,0,10
51-059,99.00%,17,4,3,0,14
51-060,99.00%,21,17,14,0,25
51-061,99.00%,33,16,10,0,21
51-062,99.00%,26,25,8,0,19
51-063,99.00%,20,20,11,0,52
51-064,99.00%,22,16,25,0,28
51-065,99.00%,29,14,18,0,45
51-066,99.00%,19,5,7,0,31
51-067,99.00%,10,15,7,0,58
51-068,99.00%,11,11,3,0,5
51-069,99.00%,12,7,12,0,80
51-070,99.00%,12,10,17,0,76
51-071,99.00%,16,14,10,0,90
51-072,99.00%,57,32,14,0,40
51-073,99.00%,33,48,7,0,56
51-074,99.00%,8,9,6,0,57
51-075,99.00%,16,19,9,0,22
51-076,99.00%,19,15,3,0,19
51-077,99.00%,25,20,7,0,25
51-078,99.00%,17,8,4,2,28
51-079,99.00%,33,10,5,0,41
51-080,99.00%,14,3,3,0,12
51-081,99.00%,22,10,7,0,26
51-082,99.00%,51,28,15,1,33
51-083,99.00%,43,35,11,0,30
51-084,99.00%,0,0,0,0,0
51-085,99.00%,0,0,0,0,0
51-086,99.00%,0,0,0,0,0
51-087,99.00%,0,0,0,0,0
